9_0 Buchnera_aphidicola
546_1 Citrobacter_freundii
548_0 Klebsiella_aerogenes
549_0 Pantoea_agglomerans
550_0 Enterobacter_cloacae
550_1 Enterobacter_cloacae
562_0 Escherichia_coli
562_1 Escherichia_coli
562_2 Escherichia_coli
562_3 Escherichia_coli
569_0 Hafnia_alvei
571_0 Klebsiella_oxytoca
571_1 Klebsiella_oxytoca
571_2 Klebsiella_oxytoca
573_0 Klebsiella_pneumoniae
582_0 Morganella_morganii
584_0 Proteus_mirabilis
587_0 Providencia_rettgeri
588_0 Providencia_stuartii
611_0 Salmonella_enterica_subsp._enterica_serovar_Heidelberg
614_0 Serratia_liquefaciens
615_0 Serratia_marcescens
615_1 Serratia_marcescens
623_0 Shigella_flexneri
630_0 Yersinia_enterocolitica
631_0 Yersinia_intermedia
633_0 Yersinia_pseudotuberculosis
636_0 Edwardsiella_tarda
644_0 Aeromonas_hydrophila
649_0 Aeromonas_eucrenophila
652_0 Aeromonas_schubertii
654_0 Aeromonas_veronii
663_0 Vibrio_alginolyticus
663_1 Vibrio_alginolyticus
666_0 Vibrio_cholerae
669_0 Vibrio_harveyi
673_0 Grimontia_hollisae
674_0 Vibrio_mimicus
676_0 Vibrio_fluvialis
691_0 Vibrio_natriegens
703_0 Plesiomonas_shigelloides
730_0 [Haemophilus]_ducreyi
732_0 Aggregatibacter_aphrophilus
738_0 Glaesserella_parasuis
783_0 Rickettsia_rickettsii
818_0 Bacteroides_thetaiotaomicron
824_0 Campylobacter_gracilis
851_0 Fusobacterium_nucleatum
883_0 Desulfovibrio_vulgaris_str._'Miyazaki_F'
897_0 Desulfococcus_multivorans
901_0 Desulfovibrio_piger
971_0 Selenomonas_ruminantium
979_0 Cellulophaga_lytica
986_0 Flavobacterium_johnsoniae
991_0 Flavobacterium_hydatis
996_0 Flavobacterium_columnare
1044_0 Erythrobacter_longus
1063_0 Rhodobacter_sphaeroides
1076_0 Rhodopseudomonas_palustris
1079_0 Blastochloris_viridis
1112_0 Porphyrobacter_neustonensis
1140_0 Synechococcus_elongatus_PCC_7942
1147_0 Synechocystis_sp._PCC_6714
1148_0 Synechocystis_sp._PCC_6803
1188_0 Tolypothrix_sp._PCC_7601
1238_0 Piscirickettsia_salmonis
1238_1 Piscirickettsia_salmonis
1246_0 Leuconostoc_lactis
1254_0 Pediococcus_acidilactici
1267_0 Clostridium_ventriculi
1274_0 Dermacoccus_nishinomiyaensis
1284_0 Staphylococcus_hyicus
1286_0 Staphylococcus_simulans
1288_0 Staphylococcus_xylosus
1293_0 Staphylococcus_gallinarum
1295_0 Staphylococcus_schleiferi
1302_0 Streptococcus_gordonii
1307_0 Streptococcus_suis
1307_1 Streptococcus_suis
1311_0 Streptococcus_agalactiae
1328_0 Streptococcus_anginosus
1328_1 Streptococcus_anginosus
1346_0 Streptococcus_iniae
1351_0 Enterococcus_faecalis
1352_0 Enterococcus_faecium
1358_0 Lactococcus_lactis
1374_0 Planococcus_kocurii
1376_0 Aerococcus_urinae
1381_0 Atopobium_minutum
1396_0 Bacillus_cereus
1405_0 Bacillus_mycoides
1408_0 Bacillus_pumilus
1421_0 Lysinibacillus_sphaericus
1421_1 Lysinibacillus_sphaericus
1423_0 Bacillus_subtilis
1423_1 Bacillus_subtilis
1428_0 Bacillus_thuringiensis
1428_1 Bacillus_thuringiensis
1441_0 Bacillus_thuringiensis_serovar_morrisoni
1473_0 Virgibacillus_pantothenticus
1476_0 Sporosarcina_psychrophila
1478_0 Bacillus_simplex
1479_0 Bacillus_smithii
1482_0 Virgibacillus_halodenitrificans
1491_0 Clostridium_botulinum
1492_0 Clostridium_butyricum
1497_0 Clostridium_formicaceticum
1503_0 Gottschalkia_purinilyticum
1505_0 Paeniclostridium_sordellii
1509_0 Clostridium_sporogenes
1511_0 Acetoanaerobium_sticklandii
1519_0 Clostridium_tyrobutyricum
1525_0 Moorella_thermoacetica
1548_0 Clostridium_scatologenes
1552_0 Clostridium_estertheticum_subsp._estertheticum
1575_0 Leifsonia_xyli
1575_1 Leifsonia_xyli
1590_0 Lactobacillus_plantarum
1598_0 Lactobacillus_reuteri
1600_0 Lactobacillus_acetotolerans
1616_0 Weissella_kandleri
1620_0 Weissella_minor
1624_0 Lactobacillus_salivarius
1629_0 Weissella_viridescens
1639_0 Listeria_monocytogenes
1648_0 Erysipelothrix_rhusiopathiae
1657_0 Actinobaculum_suis
1661_0 Trueperella_pyogenes
1661_1 Trueperella_pyogenes
1680_0 Bifidobacterium_adolescentis
1683_0 Bifidobacterium_angulatum
1687_0 Bifidobacterium_coryneforme
1688_0 Bifidobacterium_cuniculi
1692_0 Bifidobacterium_magnum
1693_0 Bifidobacterium_minimum
1703_0 Brevibacterium_linens
1703_1 Brevibacterium_linens
1705_0 Corynebacterium_stationis
1711_0 Cellulomonas_flavigena
1713_0 Oerskovia_turbata
1719_0 Corynebacterium_pseudotuberculosis
1719_1 Corynebacterium_pseudotuberculosis
1724_0 Corynebacterium_renale
1727_0 Corynebacterium_variabile
1736_0 Eubacterium_limosum
1747_0 Cutibacterium_acnes
1748_0 Acidipropionibacterium_acidipropionici
1771_0 Mycobacterium_phlei
1778_0 Mycobacterium_gordonae
1784_0 Mycobacterium_simiae
1791_0 Mycobacterium_aurum
1807_0 Mycobacterium_obuense
1844_0 Nocardioides_luteus
1869_0 Actinoplanes_utahensis
1888_0 Streptomyces_albus
1888_1 Streptomyces_albus
1896_0 Streptomyces_bikiniensis
1907_0 Streptomyces_glaucescens
1915_0 Streptomyces_lincolnensis
1923_0 Streptomyces_phaeochromogenes
1926_0 Streptomyces_reticuli
1943_0 Streptomyces_griseoruber
1961_0 Streptomyces_virginiae
1967_0 Streptomyces_kanamyceticus
1968_0 Streptomyces_cellulosae
1996_0 Microtetraspora_glauca
2002_0 Streptosporangium_amethystogenes
2026_0 Thermoactinomyces_vulgaris
2041_0 Aeromicrobium_erythreum
2045_0 Pimelobacter_simplex
2047_0 Rothia_dentocariosa
2055_0 Gordonia_terrae
2074_0 Pseudonocardia_autotrophica
2094_0 Mycoplasma_arginini
2103_0 Mycoplasma_mycoides_subsp._mycoides
2110_0 Mycoplasma_agalactiae
2113_0 Mycoplasma_californicum
2138_0 Spiroplasma_poulsonii
2161_0 Methanobacterium_bryantii
2162_0 Methanobacterium_formicicum
2177_0 Methanohalophilus_halophilus
2193_0 Methanocorpusculum_parvum
2200_0 Methanoculleus_thermophilus
2209_0 Methanosarcina_mazei
2226_0 Methanococcoides_methylutens
2247_0 Halorubrum_lacusprofundi
2248_0 Halorubrum_saccharovorum
2264_0 Thermococcus_celer
2285_0 Sulfolobus_acidocaldarius
2287_0 Sulfolobus_solfataricus
2309_0 Pyrodictium_occultum
2325_0 Thermoanaerobacter_kivui
2340_0 Solemya_velum_gill_symbiont
2423_0 Fervidobacterium_islandicum
2702_0 Gardnerella_vaginalis
2711_0 Citrus_sinensis
2754_0 Synergistes_jonesii
2769_0 Chondrus_crispus
2786_0 Porphyra_umbilicalis
2880_1 Ectocarpus_siliculosus
2951_1 Symbiodinium_microadriaticum
3055_0 Chlamydomonas_reinhardtii
3068_0 Volvox_carteri_f._nagariensis
3075_0 Auxenochlorella_protothecoides
3076_0 Chlorella_sorokiniana
3218_0 Physcomitrella_patens
3476_0 Parasponia_andersonii
3555_0 Beta_vulgaris_subsp._vulgaris
3562_0 Spinacia_oleracea
3641_0 Theobroma_cacao
3649_0 Carica_papaya
3656_0 Cucumis_melo
3661_0 Cucurbita_maxima
3673_0 Momordica_charantia
3702_0 Arabidopsis_thaliana
3711_0 Brassica_rapa
3726_0 Raphanus_sativus
3750_0 Malus_domestica
3760_0 Prunus_persica
3775_0 Cephalotus_follicularis
3821_0 Cajanus_cajan
3827_0 Cicer_arietinum
3847_0 Glycine_max
3871_0 Lupinus_angustifolius
3880_0 Medicago_truncatula
3885_0 Phaseolus_vulgaris
3900_0 Trifolium_subterraneum
3914_0 Vigna_angularis
3981_0 Hevea_brasiliensis
3983_0 Manihot_esculenta
3988_0 Ricinus_communis
4039_0 Daucus_carota
4072_0 Capsicum_annuum
4081_0 Solanum_lycopersicum
4097_0 Nicotiana_tabacum
4098_0 Nicotiana_tomentosiformis
4100_0 Nicotiana_benthamiana
4113_0 Solanum_tuberosum
4155_0 Erythranthe_guttata
4182_0 Sesamum_indicum
4232_0 Helianthus_annuus
4236_0 Lactuca_sativa
4432_0 Nelumbo_nucifera
4533_0 Oryza_brachyantha
4555_0 Setaria_italica
4558_0 Sorghum_bicolor
4565_0 Triticum_aestivum
4572_0 Triticum_urartu
4577_0 Zea_mays
4615_0 Ananas_comosus
4686_0 Asparagus_officinalis
4781_1 Plasmopara_halstedii
4790_1 Phytophthora_nicotianae
4795_1 Phytophthora_megakarya
4829_1 Absidia_glauca
4909_1 Pichia_kudriavzevii
4922_1 Komagataella_pastoris
4950_1 Torulaspora_delbrueckii
4952_1 Yarrowia_lipolytica
4955_1 Lachancea_fermentati
4956_1 Zygosaccharomyces_rouxii
4999_1 Kockovaella_imperatae
5005_1 Sporidiobolus_salmonicolor
5061_1 Aspergillus_niger
5075_1 Penicillium_camemberti
5078_1 Penicillium_griseofulvum
5127_1 Fusarium_fujikuroi
5141_1 Neurospora_crassa
5286_1 Rhodotorula_toruloides
5353_1 Lentinula_edodes
5454_1 Ascochyta_rabiei
5477_1 [Candida]_boidinii
5477_2 [Candida]_boidinii
5478_1 [Candida]_glabrata
5480_1 Candida_parapsilosis
5507_1 Fusarium_oxysporum
5518_1 Fusarium_graminearum
5544_1 Trichoderma_harzianum
5544_2 Trichoderma_harzianum
5551_1 Trichophyton_rubrum
5599_1 Alternaria_alternata
5601_1 Phialophora_americana
5627_1 Grifola_frondosa
5643_1 Trametes_cinnabarina
5656_1 Crithidia_fasciculata
5663_1 Leishmania_enriettii
5671_1 Leishmania_infantum
5679_1 Leishmania_panamensis
5684_1 Leptomonas_seymouri
5689_1 Leishmania_tarentolae
5705_1 Endotrypanum_monterogeii
5759_1 Entamoeba_histolytica
5763_1 Naegleria_fowleri
5786_1 Dictyostelium_purpureum
5801_1 Eimeria_acervulina
5804_1 Eimeria_maxima
5823_1 Plasmodium_berghei_ANKA
5849_1 Plasmodium_gallinaceum
5851_1 Plasmodium_knowlesi_strain_H
5854_2 Plasmodium_reichenowi
5855_1 Plasmodium_vivax
5857_1 Plasmodium_fragile
5858_1 Plasmodium_malariae
5866_1 Babesia_bigemina
5872_1 Theileria_equi
5874_1 Theileria_annulata
5932_1 Ichthyophthirius_multifiliis
5949_1 Stylonychia_lemnae
5963_1 Stentor_coeruleus
6087_0 Hydra_vulgaris
6183_0 Schistosoma_mansoni
6185_0 Schistosoma_haematobium
6198_0 Opisthorchis_viverrini
6210_0 Echinococcus_granulosus
6238_0 Caenorhabditis_briggsae
6239_0 Caenorhabditis_elegans
6279_0 Brugia_malayi
6334_0 Trichinella_spiralis
6412_0 Helobdella_robusta
6500_0 Aplysia_californica
6526_0 Biomphalaria_glabrata
6565_0 Crassostrea_virginica
6573_0 Mizuhopecten_yessoensis
6669_0 Daphnia_pulex
6832_0 Tigriopus_californicus
6850_0 Limulus_polyphemus
6945_0 Ixodes_scapularis
6958_0 Euroglyphus_maynei
6973_0 Blattella_germanica
7004_0 Locusta_migratoria
7029_0 Acyrthosiphon_pisum
7038_0 Bemisia_tabaci
7070_0 Tribolium_castaneum
7091_0 Bombyx_mori
7130_0 Manduca_sexta
7159_0 Aedes_aegypti
7160_0 Aedes_albopictus
7165_0 Anopheles_gambiae
7167_0 Anopheles_albimanus
7168_0 Anopheles_dirus
7176_0 Culex_quinquefasciatus
7200_0 Lutzomyia_longipalpis
7209_0 Loa_loa
7213_0 Ceratitis_capitata
7217_0 Drosophila_ananassae
7220_0 Drosophila_erecta
7222_0 Drosophila_grimshawi
7224_0 Drosophila_hydei
7227_0 Drosophila_melanogaster
7230_0 Drosophila_mojavensis
7237_0 Drosophila_pseudoobscura
7244_0 Drosophila_virilis
7245_0 Drosophila_yakuba
7260_0 Drosophila_willistoni
7274_0 Drosophila_serrata
7282_0 Drosophila_obscura
7370_0 Musca_domestica
7375_0 Lucilia_cuprina
7394_0 Glossina_morsitans
7395_0 Glossina_austeni
7397_0 Glossina_palpalis
7425_0 Nasonia_vitripennis
7460_0 Apis_mellifera
7493_0 Trichogramma_pretiosum
7536_0 Oncopeltus_fasciatus
7539_0 Leptinotarsa_decemlineata
7574_0 Lingula_anatina
7668_0 Strongylocentrotus_purpuratus
7719_0 Ciona_intestinalis
7739_0 Branchiostoma_floridae
7741_0 Branchiostoma_belcheri
7868_0 Callorhinchus_milii
7897_0 Latimeria_chalumnae
7918_0 Lepisosteus_oculatus
7950_0 Clupea_harengus
7955_0 Danio_rerio
7962_0 Cyprinus_carpio
7994_0 Astyanax_mexicanus
7998_0 Ictalurus_punctatus
8010_0 Esox_lucius
8019_0 Oncorhynchus_kisutch
8022_0 Oncorhynchus_mykiss
8030_0 Salmo_salar
8036_0 Salvelinus_alpinus
8078_0 Fundulus_heteroclitus
8081_0 Poecilia_reticulata
8083_0 Xiphophorus_maculatus
8090_0 Oryzias_latipes
8128_0 Oreochromis_niloticus
8153_0 Haplochromis_burtoni
8187_0 Lates_calcarifer
8208_0 Notothenia_coriiceps
8255_0 Paralichthys_olivaceus
8355_0 Xenopus_laevis
8364_0 Xenopus_tropicalis
8469_0 Chelonia_mydas
8478_0 Chrysemys_picta_bellii
8496_0 Alligator_mississippiensis
8502_0 Crocodylus_porosus
441894_0 Struthio_camelus
8839_0 Anas_platyrhynchos
381198_0 Anser_cygnoides
8897_0 Chaetura_pelagica
8932_0 Columba_livia
8954_0 Falco_peregrinus
216574_0 Aquila_chrysaetos
8969_0 Haliaeetus_albicilla
8996_0 Numida_meleagris
9031_0 Gallus_gallus
9103_0 Meleagris_gallopavo
9135_0 Serinus_canaria
9157_0 Parus_major
9172_0 Sturnus_vulgaris
9209_0 Phalacrocorax_carbo
9233_0 Aptenodytes_forsteri
9238_0 Pygoscelis_adeliae
9244_0 Calypte_anna
9258_0 Ornithorhynchus_anatinus
9305_0 Sarcophilus_harrisii
9361_0 Dasypus_novemcinctus
9365_0 Erinaceus_europaeus
9371_0 Echinops_telfairi
9402_0 Pteropus_alecto
9407_0 Rousettus_aegyptiacus
9483_0 Callithrix_jacchus
9531_0 Cercocebus_atys
9541_0 Macaca_fascicularis
9544_0 Macaca_mulatta
9545_0 Macaca_nemestrina
9555_0 Papio_anubis
9568_0 Mandrillus_leucophaeus
9595_0 Gorilla_gorilla_gorilla
9597_0 Pan_paniscus
9598_0 Pan_troglodytes
9601_0 Pongo_abelii
9606_0 Homo_sapiens
9615_0 Canis_lupus_familiaris
9646_0 Ailuropoda_melanoleuca
9668_0 Mustela_putorius
9685_0 Felis_catus
9691_0 Panthera_pardus
74533_0 Panthera_tigris
62698_0 Odobenus_rosmarus_divergens
9713_0 Leptonychotes_weddellii
9733_0 Orcinus_orca
9739_0 Tursiops_truncatus
9749_0 Delphinapterus_leucas
9755_0 Physeter_catodon
310752_0 Balaenoptera_acutorostrata
127582_0 Trichechus_manatus
9785_0 Loxodonta_africana
9793_0 Equus_asinus
9796_0 Equus_caballus
9798_0 Equus_przewalskii
73337_0 Ceratotherium_simum
1230840_0 Orycteropus_afer
9823_0 Sus_scrofa
9837_0 Camelus_bactrianus
9838_0 Camelus_dromedarius
9874_0 Odocoileus_virginianus
43346_0 Bison_bison
9913_0 Bos_taurus
9915_0 Bos_indicus
9925_0 Capra_hircus
9938_0 Ovis_aries_musimon
9940_0 Ovis_aries
9974_0 Manis_javanica
9978_0 Ochotona_princeps
9986_0 Oryctolagus_cuniculus
9994_0 Marmota_marmota_marmota
10020_0 Dipodomys_ordii
10029_0 Cricetulus_griseus
10036_0 Mesocricetus_auratus
10047_0 Meriones_unguiculatus
10089_0 Mus_caroli
10090_0 Mus_musculus
10093_0 Mus_pahari
10116_0 Rattus_norvegicus
10141_0 Cavia_porcellus
10160_0 Octodon_degus
10181_0 Heterocephalus_glaber
10224_0 Saccoglossus_kowalevskii
10228_0 Trichoplax_adhaerens
10245_1 Vaccinia_virus
10256_1 Raccoonpox_virus
10258_1 Orf_virus
10261_1 Fowlpox_virus
10271_1 Rabbit_fibroma_virus
10273_1 Myxoma_virus
10276_1 Swinepox_virus
10280_1 Molluscum_contagiosum_virus_subtype_1
10288_1 Choristoneura_biennis_entomopoxvirus
10291_1 unidentified_entomopoxvirus
10298_1 Human_alphaherpesvirus_1
10310_1 Human_alphaherpesvirus_2
10317_1 Cercopithecine_alphaherpesvirus_2
10320_1 Bovine_alphaherpesvirus_1
10325_1 Macacine_alphaherpesvirus_1
10326_1 Equid_alphaherpesvirus_1
10331_1 Equid_alphaherpesvirus_4
10334_1 Felid_alphaherpesvirus_1
10335_1 Human_alphaherpesvirus_3
10345_1 Suid_alphaherpesvirus_1
10353_1 Saimiriine_alphaherpesvirus_1
10359_1 Human_betaherpesvirus_5
10366_1 Murid_betaherpesvirus_1
10371_1 Equid_gammaherpesvirus_5
10372_1 Human_betaherpesvirus_7
10380_1 Ateline_gammaherpesvirus_2
10381_1 Saimiriine_gammaherpesvirus_2
10385_1 Bovine_gammaherpesvirus_4
10386_1 Gallid_alphaherpesvirus_1
10390_1 Gallid_alphaherpesvirus_2
10397_1 Tupaiid_betaherpesvirus_1
10398_1 Ovine_gammaherpesvirus_2
10401_1 Ictalurid_herpesvirus_1
10406_1 Ground_squirrel_hepatitis_virus
10407_1 Hepatitis_B_virus
10449_1 Lymantria_dispar_multiple_nucleopolyhedrovirus
10454_1 Spodoptera_exigua_multiple_nucleopolyhedrovirus
10455_1 Spodoptera_frugiperda_multiple_nucleopolyhedrovirus
10456_1 Spodoptera_littoralis_nucleopolyhedrovirus
10464_1 Agrotis_segetum_granulovirus
10479_1 Thermoproteus_tenax_virus_1
10484_1 Campoletis_sonorensis_ichnovirus
10493_1 Frog_virus_3
10497_1 African_swine_fever_virus
10506_1 Paramecium_bursaria_Chlorella_virus_1
10510_1 Bovine_adenovirus_3
10537_1 Canine_mastadenovirus_A
10561_1 Xipapillomavirus_1
10564_1 Deltapapillomavirus_2
10565_1 Deltapapillomavirus_1
10566_1 Human_papillomavirus
10567_1 Iotapapillomavirus_1
10568_1 Micromys_minutus_papillomavirus_1
10570_1 Alphapapillomavirus_12
10571_1 Bovine_papillomavirus
10589_1 Human_papillomavirus_type_41
10600_1 Human_papillomavirus_type_6b
10611_1 Human_papillomavirus_type_30
10616_1 Human_papillomavirus_type_49
10617_1 Human_papillomavirus_type_4
10620_1 Human_papillomavirus_type_7
10621_1 Human_papillomavirus_type_9
10623_1 Kappapapillomavirus_2
10632_1 JC_polyomavirus
10640_1 Carnation_etched_ring_virus
10641_1 Cauliflower_mosaic_virus
10649_1 Figwort_mosaic_virus
10651_1 Soybean_chlorotic_mottle_virus
10653_1 Commelina_yellow_mottle_virus
10654_1 Rice_tungro_bacilliform_virus
10658_1 Salmonella_virus_PRD1
10661_1 Pseudoalteromonas_virus_PM2
10665_1 Escherichia_virus_T4
10677_1 Escherichia_virus_Mu
10678_1 Escherichia_virus_P1
10679_1 Escherichia_virus_P2
10679_2 Escherichia_virus_P2
10680_1 Enterobacteria_phage_P4
10685_1 Bacillus_virus_SPO1
10689_1 Vibrio_phage_CP-T1
10690_1 Haemophilus_virus_HP1
10693_1 Enterobacteria_phage_RB51
10702_1 Streptomyces_phage_VWB
10704_1 Rhizobium_phage_16-3
10707_1 Escherichia_virus_BF23
10708_1 Pseudomonas_virus_D3112
10710_1 Escherichia_virus_Lambda
10713_1 Enterobacteria_phage_phi80
10717_1 Bacillus_phage_phi105
10719_1 Streptomyces_virus_phiC31
10724_1 Bacillus_phage_SPP1
10726_1 Escherichia_virus_T5
10730_1 Enterobacteria_phage_933W
10732_1 Streptomyces_phage_R4
10742_1 Escherichia_virus_HK022
10747_1 Streptococcus_phage_Cp-1
10748_1 Streptococcus_phage_CP-7
10752_1 Escherichia_virus_N4
10754_1 Salmonella_virus_P22
10756_1 Bacillus_virus_phi29
10759_1 Enterobacteria_phage_T3
10760_1 Enterobacteria_phage_T7
10761_1 Shigella_virus_Sf6
10778_1 Bacillus_virus_B103
10784_1 Bovine_parvovirus
10788_1 Canine_parvovirus
10794_1 Minute_virus_of_mice
10796_1 Porcine_parvovirus
10798_1 Human_parvovirus_B19
10804_1 Adeno-associated_virus_-_2
10815_1 Abutilon_mosaic_virus
10820_1 Chloris_striate_mosaic_virus
10826_1 Panicum_streak_virus
10827_1 Potato_yellow_mosaic_virus
10829_1 Squash_leaf_curl_virus
10830_1 Tobacco_yellow_dwarf_virus
10831_1 Tomato_golden_mosaic_virus
10832_1 Tomato_yellow_leaf_curl_virus
10834_1 Wheat_dwarf_virus
10835_1 Tomato_mottle_virus
10836_1 Sugarcane_streak_virus
10837_1 Digitaria_streak_virus
10838_1 Bean_dwarf_mosaic_virus
10839_1 Bean_golden_mosaic_virus
10840_1 Beet_curly_top_virus
10843_1 Enterobacteria_phage_G4
10845_1 Enterobacteria_phage_St-1
10847_1 Escherichia_virus_phiX174
10849_1 Enterobacteria_phage_alpha3
10854_1 Spiroplasma_phage_1-R8A2B
10855_1 Spiroplasma_virus_SpV4
10862_1 Xanthomonas_virus_Cf1c
10867_1 Enterobacteria_phage_Ike
10868_1 Enterobacteria_phage_If1
10869_1 Escherichia_virus_I22
10872_1 Pseudomonas_phage_Pf3
10879_1 Pseudomonas_virus_phi6
10942_1 Human_rotavirus_B
10986_1 Rice_gall_dwarf_virus
10987_1 Wound_tumor_virus
10989_1 Maize_rough_dwarf_virus
10990_1 Rice_black_streaked_dwarf_virus
10991_1 Rice_dwarf_virus
10995_1 Infectious_bursal_disease_virus
11002_1 Infectious_pancreatic_necrosis_virus
11008_1 Saccharomyces_cerevisiae_virus_L-A
11020_1 Barmah_Forest_virus
11021_1 Eastern_equine_encephalitis_virus
11023_1 Middelburg_virus
11024_1 Highlands_J_virus
11029_1 Ross_River_virus
11033_1 Semliki_Forest_virus
11034_1 Sindbis_virus
11036_1 Venezuelan_equine_encephalitis_virus
11039_1 Western_equine_encephalitis_virus
11041_1 Rubella_virus
11047_1 Equine_arteritis_virus
11048_1 Lactate_dehydrogenase-elevating_virus
11053_1 Dengue_virus_1
11060_1 Dengue_virus_2
11069_1 Dengue_virus_3
11070_1 Dengue_virus_4
11072_1 Japanese_encephalitis_virus
11079_1 Murray_Valley_encephalitis_virus
11080_1 Saint_Louis_encephalitis_virus
11082_1 West_Nile_virus
11082_2 West_Nile_virus
11083_1 Powassan_virus
11084_1 Tick-borne_encephalitis_virus
11085_1 Langat_virus
11086_1 Louping_ill_virus
11089_1 Yellow_fever_virus
11096_1 Classical_swine_fever_virus
11099_1 Bovine_viral_diarrhea_virus_1
11120_1 Infectious_bronchitis_virus
11128_1 Bovine_coronavirus
11135_1 Feline_infectious_peritonitis_virus
11137_1 Human_coronavirus_229E
11138_1 Murine_hepatitis_virus
11149_1 Transmissible_gastroenteritis_virus
11152_1 Turkey_coronavirus
11191_1 Murine_respirovirus
11215_1 Bovine_respirovirus_3
11216_1 Human_respirovirus_3
11224_1 Human_parainfluenza_virus_4a
11232_1 Canine_morbillivirus
11234_1 Measles_morbillivirus
11240_1 Phocine_morbillivirus
11242_1 Rinderpest_virus_(strain_Kabete_O)
11246_1 Bovine_orthopneumovirus
11250_1 Human_orthopneumovirus
11250_2 Human_orthopneumovirus
11269_1 Marburg_marburgvirus
11269_2 Marburg_marburgvirus
11272_1 Chandipura_virus
11274_1 Piry_virus
11277_1 Vesicular_stomatitis_Indiana_virus
11277_2 Vesicular_stomatitis_Indiana_virus
11280_1 Vesicular_stomatitis_New_Jersey_virus
11290_1 Infectious_hematopoietic_necrosis_virus
11292_1 Rabies_lyssavirus
11303_1 Bovine_ephemeral_fever_virus
11307_1 Sonchus_yellow_net_nucleorhabdovirus
11318_1 Dhori_thogotovirus
11553_1 Influenza_C_virus_(C/Ann_Arbor/1/50)
11569_1 Thogoto_thogotovirus
11577_1 La_Crosse_virus
11582_1 Aino_virus
11587_1 Punta_Toro_virus
11588_1 Rift_Valley_fever_virus
11591_1 Uukuniemi_virus
11596_1 Hazara_virus
11612_1 Impatiens_necrotic_spot_virus
11620_1 Lassa_mammarenavirus
11623_1 Lymphocytic_choriomeningitis_mammarenavirus
11628_1 Machupo_mammarenavirus
11631_1 Tacaribe_mammarenavirus
11636_1 Reticuloendotheliosis_virus
11642_1 Simian_foamy_virus
11657_1 Bovine_immunodeficiency_virus
11660_1 Caprine_arthritis_encephalitis_virus
11663_1 Ovine_lentivirus
11665_1 Equine_infectious_anemia_virus
11673_1 Feline_immunodeficiency_virus
11676_1 Human_immunodeficiency_virus_1
11709_1 Human_immunodeficiency_virus_2
11723_1 Simian_immunodeficiency_virus
11746_1 Jaagsiekte_sheep_retrovirus
11757_1 Mouse_mammary_tumor_virus
11764_1 Baboon_endogenous_virus_strain_M7
11768_1 Feline_leukemia_virus
11777_1 Feline_sarcoma_virus_(STRAIN_HARDY-ZUCKERMAN_4)
11788_1 Abelson_murine_leukemia_virus
11795_1 Friend_murine_leukemia_virus
11801_1 Moloney_murine_leukemia_virus
11807_1 Harvey_murine_sarcoma_virus
11809_1 Moloney_murine_sarcoma_virus
11819_1 Spleen_focus-forming_virus
11830_1 Murine_osteosarcoma_virus
11834_1 RD114_retrovirus
11840_1 Gibbon_ape_leukemia_virus
11855_1 Mason-Pfizer_monkey_virus
11856_1 Squirrel_monkey_retrovirus
11867_1 Avian_myelocytomatosis_virus
11878_1 Avian_sarcoma_virus_CT10
